ts,low,high,open,close
2017-08-17 0:00:00,"4,200.74","4,485.39","4,261.48","4,285.08"
2017-08-18 0:00:00,"3,938.77","4,371.52","4,285.08","4,108.37"
2017-08-19 0:00:00,"3,850.00","4,184.69","4,108.37","4,139.98"
2017-08-20 0:00:00,"4,032.62","4,211.08","4,120.98","4,086.29"
2017-08-21 0:00:00,"3,911.79","4,119.62","4,069.13","4,016.00"
2017-08-22 0:00:00,"3,400.00","4,104.82","4,016.00","4,040.00"
2017-08-23 0:00:00,"4,013.89","4,265.80","4,040.00","4,114.01"
2017-08-24 0:00:00,"4,085.01","4,371.68","4,147.00","4,316.01"
2017-08-25 0:00:00,"4,247.48","4,453.91","4,316.01","4,280.68"
2017-08-26 0:00:00,"4,212.41","4,367.00","4,280.71","4,337.44"
2017-08-27 0:00:00,"4,285.54","4,400.00","4,332.51","4,310.01"
2017-08-28 0:00:00,"4,124.54","4,399.82","4,310.01","4,386.69"
2017-08-29 0:00:00,"4,313.55","4,625.85","4,353.65","4,587.48"
2017-08-30 0:00:00,"4,416.01","4,647.51","4,564.52","4,555.14"
2017-08-31 0:00:00,"4,555.14","4,745.42","4,555.14","4,724.89"
2017-09-01 0:00:00,"4,654.88","4,885.55","4,689.89","4,834.91"
2017-09-02 0:00:00,"4,286.87","4,939.19","4,796.16","4,472.14"
2017-09-03 0:00:00,"4,298.33","4,714.76","4,508.50","4,509.08"
2017-09-04 0:00:00,"3,972.51","4,527.49","4,505.00","4,100.11"
2017-09-05 0:00:00,"3,603.00","4,484.99","4,106.97","4,366.47"
2017-09-06 0:00:00,"4,335.26","4,662.87","4,366.49","4,619.77"
2017-09-07 0:00:00,"4,438.19","4,788.59","4,619.77","4,691.61"
2017-09-08 0:00:00,"4,028.93","4,735.39","4,691.66","4,282.80"
2017-09-09 0:00:00,"4,150.06","4,426.62","4,282.80","4,258.81"
2017-09-10 0:00:00,"3,801.00","4,283.00","4,258.81","4,130.37"
2017-09-11 0:00:00,"4,098.91","4,334.43","4,153.62","4,208.47"
2017-09-12 0:00:00,"4,040.80","4,394.59","4,208.60","4,163.72"
2017-09-13 0:00:00,"3,760.00","4,165.38","4,159.72","3,944.69"
2017-09-14 0:00:00,"3,165.13","3,993.00","3,944.00","3,189.02"
2017-09-15 0:00:00,"2,817.00","3,856.00","3,188.01","3,700.00"
2017-09-16 0:00:00,"3,470.66","3,950.00","3,674.01","3,714.95"
2017-09-17 0:00:00,"3,499.02","3,748.21","3,685.23","3,699.99"
2017-09-18 0:00:00,"3,690.00","4,123.20","3,690.00","4,035.01"
2017-09-19 0:00:00,"3,830.91","4,089.97","4,060.00","3,910.04"
2017-09-20 0:00:00,"3,820.00","4,046.08","3,910.04","3,900.00"
2017-09-21 0:00:00,"3,567.00","3,910.00","3,889.99","3,609.99"
2017-09-22 0:00:00,"3,505.55","3,750.00","3,592.84","3,595.87"
2017-09-23 0:00:00,"3,542.91","3,817.19","3,595.88","3,780.00"
2017-09-24 0:00:00,"3,622.76","3,789.99","3,779.54","3,660.02"
2017-09-25 0:00:00,"3,653.69","3,979.87","3,660.02","3,920.75"
2017-09-26 0:00:00,"3,850.05","3,976.99","3,928.00","3,882.35"
2017-09-27 0:00:00,"3,872.81","4,249.94","3,882.36","4,193.00"
2017-09-28 0:00:00,"4,101.00","4,300.00","4,192.11","4,174.50"
